middle_school_id,middle_school_name,requested_year,observed_year,availability,eligible_for_scoring,manual_review,review_reason,source_document
S020002009,신정중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020002009.html
S020002064,신호중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020002064.html
S020002069,모전중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020002069.html
S020002072,정관중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020002072.html
S020002073,지사중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020002073.html
S020002176,부산체육중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020002176.html
S020002219,명지중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020002219.html
S020002278,경일중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020002278.html
S020002311,일광중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020002311.html
S020002323,오션중학교,2023,2023.0,available,False,True,count_mismatch_or_zero_graduates,data\raw\advancement\2023\S020002323.html
S020002354,가락중학교,2023,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2023\S020002354.html
S020000599,감만중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000599.html
S020000600,경남여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000600.html
S020000601,금성중학교,2024,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2024\S020000601.html
S020000604,남천중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000604.html
S020000606,대연중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000606.html
S020000607,대천중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000607.html
S020000608,덕원중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000608.html
S020000610,동항중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000610.html
S020000611,문현여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000611.html
S020000612,배정중학교,2024,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2024\S020000612.html
S020000613,부산동여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000613.html
S020000614,부산서중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000614.html
S020000615,부산중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000615.html
S020000616,분포중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000616.html
S020000617,석포여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000617.html
S020000618,선화여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000618.html
S020000619,성동중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000619.html
S020000620,성지중학교,2024,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2024\S020000620.html
S020000621,용문중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000621.html
S020000623,용호중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000623.html
S020000624,해연중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000624.html
S020000765,구서여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000765.html
S020000767,금사중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000767.html
S020000769,금정중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000769.html
S020000770,남산중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000770.html
S020000771,부산내성중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000771.html
S020000772,동래여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000772.html
S020000773,동래중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000773.html
S020000774,동신중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000774.html
S020000775,동해중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000775.html
S020000776,동현중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000776.html
S020000777,부곡여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000777.html
S020000778,부곡중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000778.html
S020000779,부산예술중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000779.html
S020000780,브니엘예술중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000780.html
S020000783,사직여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000783.html
S020000784,사직중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000784.html
S020000786,안락중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000786.html
S020000789,여명중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000789.html
S020000793,온천중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000793.html
S020000794,유락여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000794.html
S020000795,장전중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000795.html
